City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Tagab,AF,2021-10-03 06:12:48,34.855,69.6492,76.14,23,0,4.65
172,Port Elizabeth,ZA,2021-10-03 06:08:37,-33.918,25.5701,55.09,57,43,15.66
173,Ulaanbaatar,MN,2021-10-03 06:12:38,47.9077,106.8832,37.53,48,75,11.18
174,Merauke,ID,2021-10-03 06:12:49,-8.4667,140.3333,83.16,68,73,10.13
175,Saint-Augustin,CA,2021-10-03 06:12:50,51.226,-58.6502,42.33,89,100,9.53
176,Mecca,SA,2021-10-03 06:12:50,21.4267,39.8261,92.05,30,43,6.96
177,Zyryanka,RU,2021-10-03 06:12:51,65.75,150.85,31.66,73,99,6.98
178,Noumea,NC,2021-10-03 06:08:58,-22.2763,166.4572,78.78,82,72,4.03
179,Barrow,US,2021-10-03 06:08:23,71.2906,-156.7887,26.62,80,40,11.5
180,Manzanillo,CU,2021-10-03 06:12:52,20.3433,-77.1167,74.75,88,60,6.24
181,Vostok,RU,2021-10-03 06:13:07,46.4856,135.8833,52.65,68,94,8.59
182,Rochester,US,2021-10-03 06:12:15,43.1548,-77.6156,64.67,79,75,1.99
183,Guangyuan,CN,2021-10-03 06:13:08,32.442,105.823,77.63,84,100,1.68
184,Sobolevo,RU,2021-10-03 06:13:08,54.4299,31.8996,43.66,75,100,8.28
185,Miracema Do Tocantins,BR,2021-10-03 06:13:09,-9.5618,-48.3967,75.04,71,45,2.3
186,Marzuq,YE,2021-10-03 06:10:16,14.4,46.4667,84.09,35,95,8.57
187,Longyearbyen,SJ,2021-10-03 06:09:16,78.2186,15.6401,37.24,87,75,0.0
188,Pacific Grove,US,2021-10-03 06:13:09,36.6177,-121.9166,70.75,94,90,0.0
189,Kavaratti,IN,2021-10-03 06:13:10,10.5669,72.642,81.01,81,95,8.14
190,San Juan,AR,2021-10-03 06:13:10,-31.5375,-68.5364,52.74,18,60,15.39
191,Colonia,DE,2021-10-03 06:09:47,50.9333,6.95,68.97,61,0,1.99
192,Iskateley,RU,2021-10-03 06:13:11,67.6803,53.1512,37.4,80,100,10.8
193,Lebu,CL,2021-10-03 06:08:59,-37.6167,-73.65,46.65,78,15,18.14
194,Altus,US,2021-10-03 06:12:46,34.6381,-99.334,65.71,83,1,0.0
195,Saint-Philippe,RE,2021-10-03 06:08:30,-21.3585,55.7679,76.59,69,42,13.96
196,Umm Kaddadah,SD,2021-10-03 06:13:12,13.6017,26.6876,84.87,21,28,11.54
197,Santiago Del Estero,AR,2021-10-03 06:12:09,-27.7951,-64.2615,56.8,36,63,20.83
198,Lyuban,BY,2021-10-03 06:13:13,52.7985,28.0048,45.19,65,56,8.9
199,Great Bend,US,2021-10-03 06:11:14,38.3645,-98.7648,59.97,95,1,4.61
200,Castro,BR,2021-10-03 06:08:26,-24.7911,-50.0119,59.45,99,100,1.72
201,Ayagoz,KZ,2021-10-03 06:13:14,47.9714,80.4392,43.99,54,98,14.47
202,Limbuhan,PH,2021-10-03 06:13:14,11.8838,124.0501,84.69,71,91,7.36
203,Karla,EE,2021-10-03 06:13:14,59.3723,24.9275,49.57,83,0,9.22
204,Pochutla,MX,2021-10-03 06:13:15,15.7432,-96.4661,76.82,92,69,3.96
205,Herat,AF,2021-10-03 06:09:19,34.5,62.0,61.72,25,0,17.63
206,Puri,IN,2021-10-03 06:13:15,19.8,85.85,90.12,72,61,13.15
207,Tasiilaq,GL,2021-10-03 06:08:42,65.6145,-37.6368,35.76,61,1,7.07
208,Kruisfontein,ZA,2021-10-03 06:09:26,-34.0033,24.7314,53.89,55,81,11.07
209,Danville,US,2021-10-03 06:11:03,36.586,-79.395,68.86,90,1,3.44
210,Posadas,AR,2021-10-03 06:13:17,-27.3671,-55.8961,69.78,94,75,5.75
211,Dinghai,CN,2021-10-03 06:13:17,26.2847,119.7936,80.17,68,71,12.57
212,Codrington,AU,2021-10-03 06:13:18,-38.2667,141.9667,57.09,92,100,10.54
