City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Sterling,US,39.0062,-77.4286,70.34,95,90,5.99,light intensity drizzle
167,La Primavera,CO,5.4906,-70.4092,74.61,97,98,3.6,overcast clouds
168,Tiksi,RU,71.6872,128.8694,27.93,94,100,3.49,light snow
169,San Policarpo,PH,12.1791,125.5072,81.54,78,100,7.29,light rain
170,Bandundu,CD,-3.3167,17.3667,71.89,93,100,0.58,overcast clouds
171,Tilichiki,RU,60.4667,166.1,30.45,72,100,14.23,overcast clouds
172,Rapar,IN,23.5667,70.6333,88.23,58,11,7.7,few clouds
173,Denpasar,ID,-8.65,115.2167,80.26,74,40,11.5,scattered clouds
174,Nikolskoye,RU,59.7035,30.7861,45.39,77,82,11.39,broken clouds
175,Hamilton,US,39.1834,-84.5333,71.37,85,90,4.61,overcast clouds
176,Amapa,BR,1.0,-52.0,70.54,99,100,1.36,overcast clouds
177,Shelby,US,35.2001,-89.8668,67.42,92,90,1.01,overcast clouds
178,Richards Bay,ZA,-28.783,32.0377,65.43,93,100,8.23,moderate rain
179,Xinzhi,CN,36.4989,111.7047,51.08,94,100,6.42,light rain
180,Arboledas,CO,7.6423,-72.7994,69.96,94,97,3.24,overcast clouds
181,Monster,NL,52.0258,4.175,55.38,86,75,15.01,broken clouds
182,Imeni Poliny Osipenko,RU,52.4201,136.4853,49.91,37,28,4.18,scattered clouds
183,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,75,8.05,broken clouds
184,Orlik,RU,52.5178,99.825,41.72,39,26,2.53,scattered clouds
185,Tanout,NE,14.9709,8.8879,82.31,22,58,9.08,broken clouds
186,Isangel,VU,-19.55,169.2667,80.71,78,11,6.91,few clouds
187,Smidovich,RU,48.6,133.8167,55.89,38,12,14.14,few clouds
188,Kavieng,PG,-2.5744,150.7967,76.73,90,100,2.98,moderate rain
189,Lebu,CL,-37.6167,-73.65,44.71,74,0,14.27,clear sky
190,Saldanha,ZA,-33.0117,17.9442,53.65,58,36,9.44,scattered clouds
191,Lewiston,US,44.1003,-70.2148,54.05,97,75,0.0,broken clouds
192,Chiang Rai,TH,19.9167,99.9167,92.08,56,40,9.22,scattered clouds
193,Pangnirtung,CA,66.1451,-65.7125,37.02,74,33,9.51,scattered clouds
194,Ampanihy,MG,-24.7,44.75,73.56,45,2,10.09,clear sky
195,Dingle,PH,10.9995,122.6711,85.6,73,96,6.49,overcast clouds
196,Santa Marta,CO,11.2408,-74.199,78.85,100,90,7.9,overcast clouds
197,Meulaboh,ID,4.1363,96.1285,85.26,63,83,6.4,moderate rain
198,Kandrian,PG,-6.2167,149.55,78.75,87,100,8.57,light rain
199,Karpathos,GR,35.507,27.2132,67.96,73,20,19.57,few clouds
200,Cockburn Town,TC,21.4612,-71.1419,83.39,74,92,25.03,overcast clouds
201,Vostok,RU,46.4856,135.8833,47.39,48,19,11.03,few clouds
202,Verkhnyaya Inta,RU,65.9811,60.3094,42.13,78,38,24.67,scattered clouds
203,Quatre Cocos,MU,-20.2078,57.7625,77.11,73,36,8.55,scattered clouds
204,Souillac,MU,-20.5167,57.5167,77.38,69,75,8.05,broken clouds
205,Yerofey Pavlovich,RU,53.9667,121.9667,43.36,40,24,4.52,few clouds
206,Akyab,MM,20.15,92.9,86.22,71,5,5.1,clear sky
