City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Ciudad Bolivar,VE,77.95,few clouds,8.1222,-63.5497,Hotel Edi
266,Porto Murtinho,BR,76.05,broken clouds,-21.6989,-57.8825,Hotel Pantanal
273,Sao Filipe,CV,78.94,clear sky,14.8961,-24.4956,Hotel Xaguate
278,San Patricio,US,79.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
279,Prabumulih,ID,89.55,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
280,Wanlaweyn,SO,84.18,broken clouds,2.6185,44.8938,GAASHAAN HOME
285,Tateyama,JP,80.15,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
289,Riyadh,SA,86.05,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
290,Sao Raimundo Nonato,BR,76.39,clear sky,-9.0153,-42.6994,Real Hotel
291,Khandbari,NP,79.5,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
293,Byron Bay,AU,78.91,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
294,Tomatlan,MX,76.64,overcast clouds,19.9333,-105.25,El Salvial
295,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
298,Poum,NC,75.61,clear sky,-20.2333,164.0167,Gîte kajeon
299,Narsipatnam,IN,89.01,scattered clouds,17.6667,82.6167,Lodge Vooda Residency AC
302,Spring Hill,US,78.82,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
304,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
313,Buala,SB,83.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
314,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
318,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
322,Cabangan,PH,82.4,overcast clouds,15.158,120.0569,Macampao Beach and Leisure Farm Resort
323,Tsiroanomandidy,MG,81.19,clear sky,-18.7667,46.0333,Hotel du Bongolave
325,Coahuayana,MX,78.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
332,Marawi,PH,76.64,overcast clouds,7.9986,124.2928,Derogongan Residence
334,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
337,Sao Felix Do Xingu,BR,75.33,broken clouds,-6.6447,-51.995,Rio Xingu Camping
343,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
344,Naze,JP,81.52,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
352,Mae Sot,TH,89.55,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
353,Puerto El Triunfo,SV,77.16,broken clouds,13.2833,-88.55,Hotel Jardin
361,Sinnamary,GF,79.38,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Posse,BR,75.52,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
364,Kousseri,CM,75.16,clear sky,12.0769,15.0306,Le Pilotis
369,Namatanai,PG,78.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
370,Key Largo,US,82.0,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
371,Abu Kamal,SY,75.36,clear sky,34.4506,40.9171,محطة التلفاز
377,Pangkalanbuun,ID,89.02,light rain,-2.6833,111.6167,Grand Kecubung Hotel
379,Calabozo,VE,77.43,overcast clouds,8.9242,-67.4293,Hotel Giardini
382,Bubaque,GW,82.0,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
386,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
388,Dubreka,GN,77.07,broken clouds,9.7911,-13.5233,Hôtel le Semeur Chez Eva
389,Phuntsholing,BT,85.23,clear sky,26.8516,89.3884,Hotel White House
394,Lorengau,PG,76.84,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
395,Tabou,CI,76.62,few clouds,4.423,-7.3528,hotêl doufoulougou
397,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
399,Sabang,ID,80.47,moderate rain,5.8933,95.3214,Hotel Citra
404,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
407,Maxixe,MZ,75.02,scattered clouds,-23.8597,35.3472,Oceano
408,Pemangkat,ID,85.87,overcast clouds,1.1667,108.9667,Ramah Kost KITA
409,Ambilobe,MG,85.12,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
410,Bandarbeyla,SO,85.26,broken clouds,9.4942,50.8122,JABIR HOTEL
